citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
628,344,Verified email at hs-offenburg.de - ,14,10,17,10,2020,2000,Janis Keuper (Fehr),Institute for Machine Learning and Analytics (IMLA) Homepage None,"Machine Learning,HPC,Data Science",55
545,222,Verified email at siemens.com - ,13,7,20,7,2020,2002,Ulli Waltinger,"Head of Research Group Machine Intelligence, Siemens Corporate Technology, Munich Homepage None","Artificial Intelligence,Computer Science,Semantic Web,Data Mining,Knowledge Discovery",71
475,264,Verified email at isical.ac.in,12,8,15,7,2020,1991,Kuntal Ghosh,"Machine Intelligence Unit,  Indian Statistical Institute None",Cognitive Science-Cybernetics,106
383,365,Verified email at intelligence.org - ,11,11,12,11,2017,2014,Nate Soares,Machine Intelligence Research Institute Homepage None,Artificial Intelligence,28
330,329,Verified email at durham.ac.uk - ,6,6,6,6,2020,2016,Samet Akcay,"Deep Learning Researcher at COSMONiO | PhD Student - Department of Computer Science,  Durham None","Computer Vision,Machine Learning",21
291,288,Verified email at uni-kassel.de - ,10,9,10,9,2020,2011,Abozar Nasirahmadi,"Head of Machine Learning and Smart Systems in Agriculture,  University of Kassel None","Artificial intelligence,Machine vision,Precision livestock farming,Precision agriculture",29
263,263,Verified email at knights.ucf.edu - ,7,7,7,7,2020,2015,Sarfaraz Hussein,"Visual AI, Machine Learning, Deep Learning Homepage None","Machine Learning,Medical Imaging,Computer Vision,Deep Learning",22
232,99,Verified email at livia.etsmtl.ca,8,5,6,3,2013,2008,Jean-François Connolly,"Data Scientist, Machine Learning Machine learning and optimization None",Machine learning and optimization,14
207,203,Verified email at gatech.edu - ,8,8,8,8,2020,2014,Ioakeim Perros,"Lead Machine Learning Scientist, HEALTH[at]SCALE Homepage None","Machine Learning for Healthcare,Tensor Factorization",15
195,190,Verified email at SteelBridgeConsulting.com - ,8,8,8,7,2020,2010,José Ricardo Valdés Martiní,Machine Learning Engineer at SteelBridge Consulting Homepage None,"Computer Science,Machine Learning,Evolutionary Computation,Cheminformatics",15
196,162,Verified email at google.com - ,5,5,5,5,2020,2010,Austin Waters,"PhD in Machine Learning, University of Texas at Austin (now at  Google )","Machine Learning,Language Modeling,Sequence-to-Sequence Models",9
197,70,Verified email at dmdini.com - ,4,2,3,1,2020,2005,Don M. Dini,Applied Machine Learning @ Lyft Homepage None,"Computer Science,Machine Learning,Reinforcement Learning",8
197,162,Verified email at intel.com - ,9,8,9,8,2020,2007,Javier Turek,Research Scientist in Machine Learning at Intel Labs Homepage None,"Machine Learning,Recurrent Neural Networks,Unsupervised Learning",46
199,199,Verified email at sonos.com - ,7,7,6,6,2020,2016,Alice Coucke,"Head of machine learning research at Sonos, Inc. Homepage None","statistical physics,machine learning,spoken language understanding,keyword spotting,natural language processing",12
200,200,Verified email at fau.de - ,9,9,7,7,2019,2014,Benjamin H. Groh,"Machine Learning and Data Analytics Lab,  Friedrich-Alexander-Universität Erlangen-Nürnberg None","Machine Learning,Wearable Computing,Sports Analytics,Data Fusion,Localization",24
200,133,Verified email at apple.com - ,8,7,7,5,2017,2007,Pooya Davoodi,", Machine Learning Engineer Apple None","Machine learning backend,GPU acceleration,Memory-efficient data structures,Range query data structures",16
201,201,Verified email at iip.ist.i.kyoto-u.ac.jp - ,6,6,5,5,2020,2015,Vivien Seguy,"PhD in Machine Learning,  Kyoto University None","Machine Learning,Optimal Transport",10
203,158,Verified email at asu.edu,9,7,9,6,2017,2008,Ming Yang,"Research Scientist, Machine Learning at Facebook signal processing None","signal processing,computer architecture,machine learning",19
206,135,Verified email at amazon.com,8,7,6,3,2019,2008,Karthik Gurumoorthy,"Machine Learning Scientist, Amazon Development Center Signal Processing None","Signal Processing,Machine Learning,Optimization,Sparse representation,Kalman Filtering",39
207,204,Verified email at univ-lr.fr - ,6,6,4,4,2018,2010,Caroline Pacheco do E.Silva,Ph.D. on Computer Vision and Machine Learning Homepage None,"Computer Vision,Machine Learning and Pattern Recognition and",10
208,145,Verified email at oneclass.com,8,6,7,3,2016,2007,Rushdi Shams,Sr. Machine Learning Engineer natural language processing None,"natural language processing,deep learning,machine learning,information retrieval,information extraction",23
209,201,Verified email at fourkind.com - ,6,6,5,5,2016,2013,Max Pagels,"Machine Learning Partner, Fourkind Homepage None","Software Engineering,Software Measurement,Machine Learning",10
209,200,Verified email at bsse.ethz.ch - ,9,9,9,9,2020,2010,Bastian Rieck,"Machine Learning & Computational Biology Lab, D-BSSE,  ETH Zürich None","Machine learning,Computational topology,Topological data analysis,Visualization,Computational biology",35
210,210,Verified email at apple.com,7,7,5,5,2019,2014,Pengfei Dou,Senior Machine Learning Engineer @  Apple Inc .,"Machine Learning,Deep learning,Computer vision",13
211,208,Verified email at usc.edu,6,6,6,6,2019,2014,Simin Ahmadi Karvigh,"PhD ( University of Southern California ), Machine Learning @ Apple","Machine Learning,Artificial intelligence,Automation,Smart Buildings,Building Energy Efficiency",10
214,198,Verified email at tum.de,5,5,3,3,2019,2013,Matthias Seibert,Doctoral Candidate at the Professorship for Geometric Optimization and Machine Learning at  TUM None,"Machine Learning,Sparse Coding",9
217,210,Verified email at continental.com,5,5,5,5,2019,2013,David Lanyi,"Machine Learning Methods, Continental ADAS AI artificial intelligence None","artificial intelligence,machine learning,deep learning",10
217,173,Verified email at cs.stanford.edu - ,6,6,5,4,2019,2009,Rishi Bedi,Machine Learning for Therapeutics Discovery Homepage None,"machine learning,drug discovery,immunology",10
217,114,Verified email at tomtom.com,5,3,4,3,2019,2009,Michael Hofmann,"Machine Learning R&D, TomTom machine learning None","machine learning,computer vision",7
217,204,Verified email at statestreet.com,5,5,4,3,2019,2010,mehmet umut caglar,Lead Data Scientist & Machine Learning Engineer @ State Street Corp. Data Science & Machine Learning None,Data Science & Machine Learning,23
219,164,Verified email at uni-jena.de - ,8,6,5,4,2020,2006,Sina Zarrieß,"Professor for Digital Humanities, Machine Learning and Language Technology,  University of Jena None","Computational linguistics,machine learning,language generation,dialogue computational semantics",56
citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
797,566,No verified email - ,14,13,20,16,2020,2002,Weiran Xu,"Associate professor of natural language processing, Beijing University of Posts and Telecommunications Homepage None",natural language processing,121
4,4,Verified email at uva.nl - ,1,1,0,0,2018,2018,Bryan Eikema,"PhD Student Natural Language Processing,  University of Amsterdam None","Natural Language Processing,Machine Translation,Deep Generative Models",1
6,6,Verified email at bu.ac.th - ,2,2,0,0,2018,2016,Nattapong Sanchan,"Research Student in Natural Language Processing Group, University of Sheffield Homepage None","Text Summarization,Sentence Selection,Information Extraction,Text Mining",4
9,9,Verified email at damascusuniversity.edu.sy,1,1,0,0,2017,2008,khaled omar,"Teacher in Damascus University,College of Informatics Engineering ,Artificial intelligence and Natural Language Processing department Artificial intelligence None","Artificial intelligence,Natural Language Processing,Bioinformatics",8
13,5,Verified email at ia4nlp.com - ,2,1,0,0,1992,1988,Mohamed El HANNACH,International Agency for Natural Language Processing (IA4NLP) Homepage None,Linguistics Engineering,3
15,15,Verified email at informatik.uni-mannheim.de - ,3,3,0,0,2020,2017,Kilian Theil,"PhD Student in Natural Language Processing,  University of Mannheim None","Behavioral Finance,Natural Language Processing",5
20,12,Verified email at salhi.info - ,3,2,0,0,2017,2008,Ali Salhi,Researcher in Natural Language Processing in Birzeit University Homepage None,"Natural Language Processing,Arabic Technologies,Cloud Computing",19
29,29,Verified email at lmu.de - ,3,3,1,1,2019,2018,Martin Schmitt,"PhD candidate in natural language processing, CIS /  LMU Munich None","Natural Language Processing,Machine Learning,Neural Networks and Embeddings,Lexical Semantics,Knowledge Graphs",5
41,39,Verified email at mail.ulsan.ac.kr,4,4,1,1,2020,2012,Anh-Dung Vo,Ph.D. candidate. Research in Natural Language Processing (NLP) at  University of Ulsan None,"Natural Language Processing,Sentiment Ananlysis,Text Mining",9
47,47,Verified email at sfu.ca,1,1,1,1,2019,2014,Wasifa Chowdhury,Researcher in natural language processing and machine learning Natural language processing None,"Natural language processing,Machine learning,Artificial intelligence",3
52,44,Verified email at ims.uni-stuttgart.de - ,5,4,0,0,2020,2010,Diego Frassinelli,"Institute for Natural Language Processing (IMS),  University of Stuttgart None","Psycholinguistics,distributional semantics,multimodality,concreteness",19
54,54,Verified email at ims.uni-stuttgart.de - ,4,4,3,3,2019,2017,Xiang Yu,"Institute for Natural Language Processing,  University of Stuttgart None","Dependency Parsing,Neural Networks",10
54,46,Verified email at andrew.cmu.edu - ,4,4,2,1,2015,2005,Fabrizio Ghigi,Natural Language Processing Engineer Homepage None,Natural Language Processing,12
76,76,Verified email at unileon.es - ,3,3,2,2,2020,2017,Wesam Al-nabki,Ph.D. | Natural Language Processing | Machine Learning | Deep Learning | Information Extraction Homepage None,Ph.D. | Natural Language Processing | Machine Learning | Deep Learning | Information Extraction,15
100,71,Verified email at fi.muni.cz,4,4,2,2,2019,2005,Zuzana Nevěřilová,"Natural Language Processing Centre,  Masaryk University None","natural language processing,natural language generation,semantics",42
103,63,Verified email at escs.u-sfax.tn,4,3,3,2,2013,2004,Nouha Chaâben kammoun,"Arabic Natural Language Processing Research Group, MIRACL laboratory, FSEGS, University of Sfax Arabic Natural Language Processing None",Arabic Natural Language Processing,6
138,75,Verified email at aiaioo.com,6,4,5,4,2016,2002,Cohan Sujay Carlos,"Researcher, Natural Language Processing, Aiaioo Labs Natural Language Processing None","Natural Language Processing,Machine Learning,Computational Linguistics,Artificial Intelligence",11
156,116,Verified email at rutgers.edu,3,3,3,3,2014,2009,John Blackmore,"Natural Language Processing Ph.D. student,  Rutgers University None","Natural Language Processing,Computational Linguistics,Artificial Intelligence,Automated Scoring",4
160,109,Verified email at apple.com - ,7,6,5,4,2015,2007,William P. Li,"Siri Natural Language Understanding,  Apple None","natural language understanding,data science,machine learning,assistive technology,natural language processing",15
179,117,Verified email at ims.uni-stuttgart.de - ,7,5,6,3,2018,2001,Katrin Schweitzer,Institute for Natural Language Processing Homepage None,,24
215,179,Verified email at uni-osnabrueck.de - ,6,6,6,6,2019,2006,Gabriella Lapesa,"University of Stuttgart, Institute for Natural Language Processing Homepage None","Computational Linguistics,Cognitive Modeling,Lexical Semantics",28
227,106,Verified email at uclouvain.be,9,5,8,2,2019,2003,Patrick Watrin,"Centre for Natural Language Processing (Cental),  UCL , BE",NLP,45
255,255,Verified email at cea.fr,2,2,1,1,2019,2017,Dorian Kodelja,"PhD in Natural language processing , CEA nano innov intelligence artificielle None","intelligence artificielle,DNN,Traitement automatique du langage,AI,NLP",6
310,120,Verified email at ims.uni-stuttgart.de - ,10,6,10,2,2019,2000,Michael Walsh,"Institute for Natural Language Processing,  University of Stuttgart None","Language Acquisition,Natural Language Processing,Cognitive Science,Phonetics",44
318,293,Verified email at bloomberg.net - ,7,7,7,6,2018,2013,Lingjia Deng,Natural Language Processing Researcher in  Bloomberg None,"Natural Language Processing,Subjectivity and Sentiment Analysis",17
519,66,No verified email - ,12,3,14,1,2018,1979,江原 暉将 Terumasa Ehara,江原自然言語処理研究室 Ehara natural language processing laboratory Homepage None,自然言語処理 natural language processing,62
567,44,Verified email at dhbw-loerrach.de - ,11,3,12,1,2020,1995,Klemens Schnattinger,Professor of Data Science and Natural Language Processing Homepage None,"Machine Learning,Natural Language Processing,Data Science,Knowledge Representation",35
648,442,Verified email at yu.edu.jo - ,11,10,12,11,2018,1999,Emad M. Al-Shawakfa,"Associate Professor of Natural Language Processing,  Yarmouk University None","Natural Language Processing,Data Mining,Computer Networks,Cloud Computing and Big Data Analytics",34
810,674,Verified email at baidu.com,13,12,19,14,2020,2006,Zhongjun HE,"Researcher of Natural Language Processing,  Baidu None","machine translation,natural language processing",40
898,382,Verified email at nuance.com,15,10,22,10,2014,2005,Oscar Ferrandez,"Senior Natural Language Processing Research Engineer,  Nuance Communications, Inc .","Natural Language Processing,Clinical Language Understanding",68
998,803,Verified email at corti.ai - ,17,15,29,22,2020,2005,Zeljko Agic,Head of Applied Science at Corti; PhD in Natural Language Processing Homepage None,"Natural language processing,Machine learning",121
1377,1022,Verified email at fsegs.rnu.tn - ,19,16,45,35,2020,1997,Lamia Hadrich Belguith,"Arabic Natural Language Processing Research Group, MIRACL laboratory,  FSEGS , University of Sfax","Arabic Natural Language Processing,Automatic summarization,Question-Answering,Automatic translation,Arabic speech processing",226
1466,706,Verified email at uclouvain.be - ,21,16,40,22,2020,1998,Cédrick Fairon,"Professor of linguistics and Natural Language Processing,  Université catholique de Louvain None","NLP,Natural Language Processing,linguistics,sms,texto",177
1945,1452,Verified email at sheffield.ac.uk - ,13,12,14,13,2020,2008,Chenghua Lin,"Senior Lecturer in Natural Language Processing,  University of Sheffield None","Natural language processing,natural language generation,machine learning,text mining",65
2021,1882,Verified email at itu.dk - ,23,23,48,45,2019,2006,Barbara Plank,"Associate Professor in Natural Language Processing,  ITU None","Natural Language Processing,Computational Linguistics,Machine Learning,Transfer Learning",140
3366,1380,Verified email at aalto.fi,29,19,89,40,2020,1991,Mikko Kurimo,"Professor in Speech and Language Processing,  Aalto University , Finland","speech recognition,machine learning,language modeling",240
4125,2062,Verified email at mail.neu.edu.cn - ,30,22,79,41,2020,1981,Jingbo Zhu,"Professor, Natural language processing lab,  Northeastern University, China None","Machine Translation,Language Parsing,Natural Language Processing",370
citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
31630,25739,Verified email at uva.nl,68,57,169,134,2020,1995,Max Welling,"Professor Machine Learning,  University of Amsterdam None","Machine Learning,Artificial Intelligence,Statistics",354
3675,2326,Verified email at ntu.edu.sg,24,20,38,32,2020,1998,Kezhi Mao,"Professor of Machine Learning,  Nanyang Technological University None","machine learning,information extraction,information fusion",91
2477,1906,Verified email at ed.ac.uk - ,26,22,58,42,2020,2000,"Sotirios Tsaftaris, Chair in Machine Learning and Computer Vision",The  University of Edinburgh None,"deep learning,computer vision,machine learning,image analysis,medical image computing",212
1462,1104,Verified email at sap.com,21,17,25,23,2019,2004,Daniel Dahlmeier,SAP Leonardo Machine Learning Machine Learning None,"Machine Learning,Natural Language Processing",56
1130,942,Verified email at alumni.stanford.edu - ,16,15,20,19,2020,2008,Fang-Chieh Chou,"Machine Learning Engineer, Uber ATG Homepage None","Deep Learning,Machine Learning,Computational Biochemistry",35
827,460,Verified email at amazon.com,12,10,13,11,2018,1998,Rushi Bhatt,Amazon Machine Learning None None,,39
688,187,Verified email at flikka.net - ,10,6,10,6,2010,2002,Kristian Flikka,Machine learning developer at Equinor ASA Homepage None,"Machine learning,programming,testing,bioinformatics,mass spectrometry",34
600,349,Verified email at deakin.edu.au - ,15,11,18,14,2020,1982,Maia Angelova,Professor of Data Analytics and Machine Learning  Deakin University None,"Data Analytics,Network Physiology,Biomatematics,Mathematical Physics,Bioinformatics",108
492,463,Verified email at fb.com,11,10,11,10,2020,2004,Bruno Costa,Software Engineer (Machine Learning) -  Facebook None,"Machine Learning,Computational Intelligence,Computer Vision,Evolving Systems,Fuzzy Systems",58
417,402,Verified email at snips.ai - ,9,9,9,9,2019,2014,Alaa Saade,Senior Machine Learning Scientist at snips.ai Homepage None,"Statistical physics of disordered systems,machine learning",15
347,334,Verified email at cs.rwth-aachen.de - ,11,10,11,10,2018,2011,Tamer Alkhouli,"Machine Learning Scientist, AppTek Homepage None","neural machine translation,language modeling,natural language processing,natural language understanding",20
312,189,Verified email at tableau.com - ,5,5,5,4,2014,2008,"Amir Meimand, Ph.D.","Strategic Sales Consultant, Machine Learning and Predictive Analytics Homepage None","Application of game theory in Revenue Management,Freight Transportation,Supply Chain Network Design",11
273,273,Verified email at louisville.edu,11,11,11,11,2020,2014,Babajide Ayinde,Senior Machine Learning Scientist at Echonous Deep Learning None,"Deep Learning,Computational Intelligence,Sensor Networks",34
247,229,Verified email at zalando.de,7,7,5,5,2020,2006,Urs Bergmann,"Machine Learning Lead, Zalando Research Machine Learning None","Machine Learning,Generative Adversarial Networks,Probabilistic Models,Reinforcement Learning",31
217,114,Verified email at tomtom.com,5,3,4,3,2019,2009,Michael Hofmann,"Machine Learning R&D, TomTom machine learning None","machine learning,computer vision",7
182,107,Verified email at apple.com,7,6,5,3,2020,2004,Kai Xiao,"Machine Learning Engineer,  Apple None","Computer Graphics,Real Time Rendering,Parallel Computing,GPGPU,DirectX",37
159,146,Verified email at prowler.io - ,7,7,7,7,2019,2011,Jordi Grau-Moya,Senior Machine Learning Researcher at PROWLER.io Homepage None,"Reinforcement Learning,Machine Learning,Information Theory",25
160,160,Verified email at anl.gov - ,7,7,6,6,2019,2014,Raziur Rahman,"Machine Learning & Computational Biology Research Fellow,  Argonne National Laboratory None","Computational Biology,Machine Learning,Bioinformatics,Precision Medicine,Predictive Modeling",23
163,163,Verified email at ml.jku.at - ,5,5,2,2,2019,2016,Jose A. Arjona-Medina,Institute for Machine Learning.  Johannes Kepler University None,"Reinforcement Learning,Machine Learning",11
163,150,Verified email at anu.edu.au,7,7,5,5,2019,2012,Mohammad Najafi,Postdoctoral Machine Learning Researcher at the University of Oxford Computer Vision None,"Computer Vision,Machine Learning",17
163,140,Verified email at upf.edu,7,7,6,5,2020,2007,Guillem Francès,"Artificial Intelligence and Machine Learning Group,  Universitat Pompeu Fabra, Barcelona None","Artificial Intelligence,Automated Planning",21
164,79,No verified email - ,9,6,9,2,2015,2006,"Soroosh Rezazadeh, PhD",Big data and Machine learning developer Homepage None,"Machine learning,Deep learning,Big data,Data engineering,Software engineering",18
165,149,Verified email at email.arizona.edu,9,8,6,5,2019,2010,Yuchun Li,Machine Learning at Google LLC. Autonomous Systems None,"Autonomous Systems,Hybrid Systems,Estimation,Distributed Systems,Sampled Data Control",28
166,165,Verified email at prowler.io - ,7,7,7,7,2020,2015,Felix Leibfried,Senior Machine Learning Researcher at PROWLER.io Homepage None,"machine learning,artificial intelligence,deep learning,reinforcement learning",14
166,165,Verified email at cs.uml.edu,4,4,4,4,2020,2012,Ning Zhang,"Machine Learning Scientist, IQVIA Machine Learning None","Machine Learning,Deep Learning,Multimedia",14
166,101,Verified email at amazon.com,6,5,5,4,2014,2006,Danial Sabri Dashti,Machine Learning Scientist at  Amazon None,"Statistical Physics,Markov Models,Statistical Learning,Reinforcement Learning,Enhanced Sampling",21
167,150,Verified email at cmu.edu - ,5,5,4,4,2019,2010,Jay Hennig,"Program in Neural Computation and Machine Learning,  Carnegie Mellon University None","computational neuroscience,brain-machine interfaces",6
167,131,No verified email,5,5,4,3,2012,2011,Huifeng Sun,"Recommender System, Machine Learning None None",,8
168,165,Verified email at uber.com - ,1,1,1,1,2019,2014,Darshan Hegde,Machine Learning Engineer at Uber Advanced Technologies Group Homepage None,"Machine Learning,Deep Learning",2
168,80,Verified email at langmead.info - ,5,4,5,3,2019,2002,Greg Langmead,"Machine Learning Engineer, Apple Inc. Homepage None","Mathematical physics,differential geometry,category theory,machine translation,machine learning",14
168,84,Verified email at amazon.com,7,4,5,3,2020,2008,Fedor Zhdanov,"Machine Learning Scientist,  Amazon None","Machine Learning,Active Learning,Computer Vision",15
168,157,Verified email at rice.edu,5,5,5,5,2016,2013,Bobby Kim,"Machine Learning Engineer / Research Scientist, Bloomberg LP Computational Biophysics None","Computational Biophysics,Machine Learning",6
169,169,Verified email at etu.parisdescartes.fr,2,2,2,2,2020,2018,MAHMOUDI Issam,"Machine learning & Data science student,  Paris Descartes University None","Machine Learning,Deep Learning,Data Science,AI",4
169,169,Verified email at uva.nl,3,3,1,1,2020,2017,Maximilian Ilse,"PhD candidate in Deep Learning,  University of Amsterdam None","medical imaging,deep learning,machine learning",6
171,161,Verified email at alexandra.dk - ,4,4,3,3,2019,2013,Niklas Kasenburg,"Machine Learning Specialist, Alexandra Institute, Copenhagen Homepage None","Data Science,Machine Learning,Artifical Intelligence,Bioinformatics",12
172,167,Verified email at iitp.ac.in - ,8,8,8,8,2017,2012,Dr. Abhay Kumar Alok (Machine Learning Scientist),", Deakin University Austrailia Indian Institute of  Technology Patna None","Clustering,Multiobjective Optimization,Deep Learning,NLP,Predictive modeling",20
174,164,Verified email at cs.cmu.edu - ,5,5,5,5,2018,2013,Behnaz Nojavanasghari,"Machine Learning Reseacher, Apple Inc Homepage None","Machine Learning,Computer Vision,Affective Computing,HCI",7
174,174,Verified email at andrew.cmu.edu - ,6,6,5,5,2019,2014,Adarsh Prasad,"PhD Student, Machine Learning Department,  Carnegie Mellon University None","Statistical Machine Learning,Machine Learning,Artificial Intelligence",8
175,167,Verified email at de.bosch.com - ,6,6,6,5,2019,2013,Sabrina Hoppe,"Bosch Corporate Research, Machine Learning & Robotics Lab, University of Stuttgart Homepage None","Robotics,Machine Learning,Cognitive Science",15
176,168,Verified email at palantir.com,2,2,1,1,2019,2014,Jay Patel,"Stanford AI, Machine Learning at Palantir Computer Vision None","Computer Vision,Artificial Intelligence,Defense,Government",3
176,134,Verified email at unity3d.com,7,6,6,3,2019,2010,Jonathan Harper,"Machine Learning, Unity Technologies reinforcement learning None","reinforcement learning,visualization,human-computer interaction",9
176,126,Verified email at adobe.com,8,6,4,2,2020,2008,Boros Tiberiu,Machine Learning Engineer at  Adobe None,"Artificial Intelligence,Speech,Machine Learning,Text-to-speech Synthesis,Speech Recognition",52
181,157,Verified email at umn.edu,6,6,6,6,2017,2009,Soumyadeep Chatterjee,"Data Scientist - Machine Learning, Quora Inc. Machine Learning None","Machine Learning,Artificial Intelligence,Statistics,Data Mining",18
182,177,Verified email at ensta-paristech.fr - ,7,7,7,6,2019,2013,Celine Craye,"Dr, Deep learning engineer Homepage None","Artificial intelligence,Cognitive robotics,Computer vision",17
182,175,Verified email at amazon.com,8,8,7,7,2019,2012,Yile (Yi) Gu,"Machine Learning Scientist,  Amazon None","Computational Modeling,Scientific Computing,Computational Fluid Dynamics",14
182,94,Verified email at amazon.com,6,3,3,2,2018,2007,Qian You,"Machine Learning Scientist,  Amazon.com , Snap Inc.","Machine learning,deep learning and optimization",17
184,101,No verified email,4,3,3,2,2011,2003,Reza Rashidi Far,"Principal Software Developer - Machine Learning, LeddarTech Machine Learning None","Machine Learning,Estimation and Detection,Random Matrices,Probability and Statistics",17
184,158,Verified email at overstock.com,7,7,4,2,2019,2011,"Kamelia Aryafar, Ph.D.","Chief Algorithms Officer, Head of Machine Learning/Data Science at Overstock Computer Science None","Computer Science,Machine Learning,Pattern Recognition,Computer Vision,AI",29
186,161,Verified email at ebay.com,7,7,7,6,2018,2005,Rajyashree Mukherjee,"Manager, Applied Machine Learning,  eBay None","Machine Learning,Recommender Systems,Information Retrieval",22
189,186,Verified email at ucsd.edu - ,7,7,6,6,2017,2010,He (Crane) Huang,Machine Learning Researcher at Apple Homepage None,"Computational modeling,Bayesian Models,Optimal Control,Decision-making,Affective Disorder",19
189,171,Verified email at uber.com,7,6,6,6,2020,2011,Thi Duong Nguyen,Machine Learning Engineer Machine Learning None,"Machine Learning,Deep Learning,Robotics",19
190,147,Verified email at wsgc.com,5,4,4,4,2016,2005,Paras Tiwari,"Senior Machine Learning Engineer, Williams-Sonoma Inc Optimization None","Optimization,Data Mining,Machine Learning",18
192,191,No verified email,6,6,6,6,2019,2017,Clyde Bango,Artificial Intelligence and Machine Learning (AI/ML) for GSK Pharma R&D AI / machine learning None,"AI / machine learning,oncology,immunology,pathology,genomics",10
193,85,No verified email - ,5,5,5,2,2012,2006,Farzana Anjum,Machine Learning  Enthusiast Homepage None,"Data Scientist,Artificial Intelligence,Machine Learning,Deep Learning",7
194,189,Verified email at tu-berlin.de,6,6,4,4,2020,2014,Philipp Seegerer,"Doctoral Researcher, Machine Learning Group,  TU Berlin None","Machine Learning,Computational Pathology,Medical Image Analysis",14
195,190,Verified email at SteelBridgeConsulting.com - ,8,8,8,7,2020,2010,José Ricardo Valdés Martiní,Machine Learning Engineer at SteelBridge Consulting Homepage None,"Computer Science,Machine Learning,Evolutionary Computation,Cheminformatics",15
196,162,Verified email at google.com - ,5,5,5,5,2020,2010,Austin Waters,"PhD in Machine Learning, University of Texas at Austin (now at  Google )","Machine Learning,Language Modeling,Sequence-to-Sequence Models",9
197,70,Verified email at dmdini.com - ,4,2,3,1,2020,2005,Don M. Dini,Applied Machine Learning @ Lyft Homepage None,"Computer Science,Machine Learning,Reinforcement Learning",8
197,162,Verified email at intel.com - ,9,8,9,8,2020,2007,Javier Turek,Research Scientist in Machine Learning at Intel Labs Homepage None,"Machine Learning,Recurrent Neural Networks,Unsupervised Learning",46
199,199,Verified email at sonos.com - ,7,7,6,6,2020,2016,Alice Coucke,"Head of machine learning research at Sonos, Inc. Homepage None","statistical physics,machine learning,spoken language understanding,keyword spotting,natural language processing",12
200,200,Verified email at fau.de - ,9,9,7,7,2019,2014,Benjamin H. Groh,"Machine Learning and Data Analytics Lab,  Friedrich-Alexander-Universität Erlangen-Nürnberg None","Machine Learning,Wearable Computing,Sports Analytics,Data Fusion,Localization",24
200,133,Verified email at apple.com - ,8,7,7,5,2017,2007,Pooya Davoodi,", Machine Learning Engineer Apple None","Machine learning backend,GPU acceleration,Memory-efficient data structures,Range query data structures",16
201,201,Verified email at iip.ist.i.kyoto-u.ac.jp - ,6,6,5,5,2020,2015,Vivien Seguy,"PhD in Machine Learning,  Kyoto University None","Machine Learning,Optimal Transport",10
203,158,Verified email at asu.edu,9,7,9,6,2017,2008,Ming Yang,"Research Scientist, Machine Learning at Facebook signal processing None","signal processing,computer architecture,machine learning",19
206,135,Verified email at amazon.com,8,7,6,3,2019,2008,Karthik Gurumoorthy,"Machine Learning Scientist, Amazon Development Center Signal Processing None","Signal Processing,Machine Learning,Optimization,Sparse representation,Kalman Filtering",39
207,203,Verified email at gatech.edu - ,8,8,8,8,2020,2014,Ioakeim Perros,"Lead Machine Learning Scientist, HEALTH[at]SCALE Homepage None","Machine Learning for Healthcare,Tensor Factorization",15
207,204,Verified email at univ-lr.fr - ,6,6,4,4,2018,2010,Caroline Pacheco do E.Silva,Ph.D. on Computer Vision and Machine Learning Homepage None,"Computer Vision,Machine Learning and Pattern Recognition and",10
208,145,Verified email at oneclass.com,8,6,7,3,2016,2007,Rushdi Shams,Sr. Machine Learning Engineer natural language processing None,"natural language processing,deep learning,machine learning,information retrieval,information extraction",23
209,201,Verified email at fourkind.com - ,6,6,5,5,2016,2013,Max Pagels,"Machine Learning Partner, Fourkind Homepage None","Software Engineering,Software Measurement,Machine Learning",10
209,200,Verified email at bsse.ethz.ch - ,9,9,9,9,2020,2010,Bastian Rieck,"Machine Learning & Computational Biology Lab, D-BSSE,  ETH Zürich None","Machine learning,Computational topology,Topological data analysis,Visualization,Computational biology",35
210,210,Verified email at apple.com,7,7,5,5,2019,2014,Pengfei Dou,Senior Machine Learning Engineer @  Apple Inc .,"Machine Learning,Deep learning,Computer vision",13
211,208,Verified email at usc.edu,6,6,6,6,2019,2014,Simin Ahmadi Karvigh,"PhD ( University of Southern California ), Machine Learning @ Apple","Machine Learning,Artificial intelligence,Automation,Smart Buildings,Building Energy Efficiency",10
214,198,Verified email at tum.de,5,5,3,3,2019,2013,Matthias Seibert,Doctoral Candidate at the Professorship for Geometric Optimization and Machine Learning at  TUM None,"Machine Learning,Sparse Coding",9
217,210,Verified email at continental.com,5,5,5,5,2019,2013,David Lanyi,"Machine Learning Methods, Continental ADAS AI artificial intelligence None","artificial intelligence,machine learning,deep learning",10
217,173,Verified email at cs.stanford.edu - ,6,6,5,4,2019,2009,Rishi Bedi,Machine Learning for Therapeutics Discovery Homepage None,"machine learning,drug discovery,immunology",10
217,204,Verified email at statestreet.com,5,5,4,3,2019,2010,mehmet umut caglar,Lead Data Scientist & Machine Learning Engineer @ State Street Corp. Data Science & Machine Learning None,Data Science & Machine Learning,23
